Year,Slot,FleetSize,ChargingRequirement_kWh,BaseloadRequirement_kWh,TotalDemand_kWh,SolarGenerated_kWh,SolarUsed_kWh,SolarStored_kWh,SolarExported_kWh,BatterySOC_Start_kWh,BatteryUsed_kWh,GridUsed_kWh
2025,1,10,477,7.1542,484.1542,0,0,0,0,45.83333333,45.83333333,438.3208667
2025,2,10,702,3.984,705.984,793.3333333,705.984,0,87.34933333,0,0,0
2025,3,10,729,3.1175,732.1175,1020,732.1175,76.586,211.2965,0,0,0
2025,4,10,477,7.086,484.086,453.3333333,453.3333333,0,0,76.586,30.75266667,0
2026,1,15,477,7.1542,484.1542,0,0,0,0,0,0,484.1542
2026,2,15,1197,3.984,1200.984,980,958.0491667,21.95083333,0,0,0,242.9348333
2026,3,15,1233,3.1175,1236.1175,1260,1236.1175,23.8825,0,21.95083333,0,0
2026,4,15,720,7.086,727.086,560,560,0,0,45.83333333,45.83333333,121.2526667
2027,1,20,1008,7.1542,1015.1542,0,0,0,0,0,0,1015.1542
2027,2,20,1764,3.984,1767.984,980,886.765,93.235,0,0,0,881.219
2027,3,20,1260,3.1175,1263.1175,1260,1260,0,0,93.235,3.1175,0
2027,4,20,1008,7.086,1015.086,560,560,0,0,90.1175,90.1175,364.9685
2028,1,25,1121,7.1542,1128.1542,0,0,0,0,0,0,1128.1542
2028,2,25,2213.5,3.984,2217.484,980,709.6475,270.3525,0,0,90.1175,1417.719
2028,3,25,2147,3.1175,2150.1175,1260,1260,0,0,180.235,90.1175,800
2028,4,25,1358.5,7.086,1365.586,560,560,0,0,90.1175,90.1175,715.4685
2029,1,30,1102,7.1542,1109.1542,0,0,0,0,0,0,1109.1542
2029,2,30,2508,3.984,2511.984,980,709.6475,270.3525,0,0,90.1175,1712.219
2029,3,30,3097,3.1175,3100.1175,1260,1260,0,0,180.235,90.1175,1750
2029,4,30,1653,7.086,1660.086,560,560,0,0,90.1175,90.1175,1009.9685
