Year,Slot,FleetSize,ChargingRequirement_kWh,BaseloadRequirement_kWh,TotalDemand_kWh,SolarGenerated_kWh,SolarUsed_kWh,SolarStored_kWh,SolarExported_kWh,BatterySOC_Start_kWh,BatteryUsed_kWh,GridUsed_kWh
2025,1,10,477.0,7.1542,484.1542,0.0,0.0,0.0,0.0,0.0,0.0,484.1542
2025,2,10,702.0,3.984,705.984,878.8888888888889,0.0,0.0,878.8888888888889,0.0,0.0,705.984
2025,3,10,729.0,3.1175,732.1175,1130.0,0.0,0.0,1130.0,0.0,0.0,732.1175
2025,4,10,477.0,7.086,484.086,502.22222222222223,0.0,0.0,502.22222222222223,0.0,0.0,484.086
2026,1,15,477.0,7.1542,484.1542,0.0,0.0,0.0,0.0,0.0,0.0,484.1542
2026,2,15,1197.0,3.984,1200.984,980.0,0.0,144.23076923076925,835.7692307692307,0.0,48.07692307692309,1152.9070769230768
2026,3,15,1233.0,3.1175,1236.1175,1260.0,0.0,0.0,1260.0,96.15384615384617,0.0,1236.1175
2026,4,15,720.0,7.086,727.086,560.0,0.0,0.0,560.0,48.07692307692309,48.07692307692309,679.0090769230769
2027,1,20,1008.0,7.1542,1015.1542,0.0,0.0,0.0,0.0,0.0,0.0,1015.1542
2027,2,20,1764.0,3.984,1767.984,980.0,799.7650000000003,180.23499999999967,0.0,0.0,0.0,968.2189999999996
2027,3,20,1260.0,3.1175,1263.1175,1260.0,0.0,0.0,1260.0,180.23499999999967,0.0,1263.1175
2027,4,20,1008.0,7.086,1015.086,560.0,0.0,0.0,560.0,90.11749999999984,0.0,1015.086
2028,1,25,1121.0,7.1542,1128.1542,0.0,0.0,0.0,0.0,0.0,0.0,1128.1542
2028,2,25,2213.5,3.984,2217.484,980.0,467.4839999999999,180.23499999999967,332.2810000000004,0.0,0.0,1750.0
2028,3,25,2147.0,3.1175,2150.1175,1260.0,1260.0,0.0,0.0,180.23499999999967,90.11749999999984,800.0
2028,4,25,1358.5,7.086,1365.586,560.0,0.0,0.0,560.0,90.11749999999984,90.11749999999984,1275.4685000000002
2029,1,30,1102.0,7.1542,1109.1542,0.0,0.0,0.0,0.0,0.0,0.0,1109.1542
2029,2,30,2508.0,3.984,2511.984,980.0,761.9839999999999,180.23499999999967,37.781000000000404,0.0,0.0,1750.0
2029,3,30,3097.0,3.1175,3100.1175,1260.0,1260.0,0.0,0.0,180.23499999999967,90.11749999999984,1750.0
2029,4,30,1653.0,7.086,1660.086,560.0,0.0,0.0,560.0,90.11749999999984,90.11749999999984,1569.9685000000002
